Modality,StudyDescription,BodyPartExamined,SeriesDescription,series_count
CT,Head,HEAD,1.0 Head Brain Vol,4100
CT,Head^HeadSeq,HEAD,HeadSeq 5.0 H40s,4088
CT,CT Sinuses,,0.625mm,4085
CT,CT Head,HEAD,2.0    Sharp,4081
CT,CT Spine cervical,,Dose Report,4058
CT,CT Head,,True Axials,4051
CT,Abdomen^Colon_BGH (Adult),ABDOMEN,Abdomen  1.0  I30f  3,4025
CT,Thorax^DynChest_Abdomen (Adult),CHEST,Topogram,4022
CT,Thorax^ChestAbdoPelvis_SAFIRE_LCAD (Adult),CHEST,Thorax  1.5  I31f  3,4020
CT,CT Chest and abdomen,CHEST,iDose (3),4020
CT,Thorax^1_Thorax_NonC_SAFIRE (Adult),CHEST,Topogram  0.6  T20f,4016
CT,Head^Head_Spiral_BGH (Adult),HEAD,Head  1.0  J40s  3,4008
CT,CT Abdomen/Pelvis With Contrast,,Abdo/Pelvis,3979
CT,CT Head,,Recon 2: AXIAL 5/7.5,3972
CT,CT Angiogram pulmonary,,Patient Protocol,3959
CT,CT Angiogram pulmonary,CHEST,CTA 1.0 CE,3955
CT,ABDO/PELVIS,ABDO_PELVIS,Body 1.0 Venous/Phase CE,3955
CT,CT Thorax and abdomen with contrast,CHEST,2.0   Sharp  Scano,3948
CT,Chest/Abdo,CHEST_ABDO,5.0 Body Venous/Phase/Coronal Std. Volume CE,3934
CT,CT Head,BRAIN,"2MM ST, iDose (2)",3930
CT,CT Abdomen & pelvis wi,,1.25 MM ABDOMEN/PELVIS,3903
CT,CT Cardiac Angiogram Coronary,,SS Pulse SS40 30-65BPM,3889
CT,CT Guided biopsy lung,,Body 4.0,3887
CT,CT Head/Neck,HEAD,",,SUMMARY,,",3871
CT,CT Head,BRAIN,"Bony, iDose (1)",3861
CT,CT Cardiac Angiogram Coronary,,Patient Protocol,3859
CT,CT Head,HEAD,Head 5.0,3858
CT,CT Thorax abdomen pelvis with contrast,CHEST_TO_PELVIS,2 CE,3851
CT,Thorax^Ayr_CAP_Split_AR_Venous (Adult),ABDOMEN,Abdo/pel. ven  1.0  3D,3849
CT,CT Abdomen and pelvis with contrast,ABDOMEN,5 CE,3846
CT,PET^PETCT_AC_WB_SMI_REDACTED (Adult),ABDOMEN,AC CT WB,3844
CT,Thorax^-01 Chest Abdo Pelvis 2.5,,Patient Protocol,3843
CT,CHEST,CHEST,2.0   Sharp,3823
CT,CT Urogram,,2ND  PART UROGRAM SCOUT,3823
CT,Thorax^Ayr_CAP_Split_AR_Venous (Adult),CHEST,Topogram,3821
CT,CT Thorax abdomen pelv,,HELICAL 1.25MM,3814
CT,CT Abdomen and pelvis,,SCOUTS,3813
CT,CHEST,CHEST,1.0 Body Portal Ven/Phase Std. Volume CE,3813
CT,CT Head,BRAIN,2,3807
CT,CT Abdomen and pelvis,,Recon 2: P0ST CONTRAST 5MM HELI,3798
CT,CT Head/Neck,HEAD,",Brain,Vol.,Head,",3792
CT,CT Guided Biopsy,,Biopsy,3784
CT,Thorax^Ayr_CAP_Split_AR_Venous (Adult),CHEST,Chest Ven  1.0 3D,3775
CT,Thorax^DynChest_Abdomen (Adult),,Patient Protocol,3762
CT,CT Thorax abdomen pelvis with contrast,,2,3757
CT,Abdomen^-01 Abdo Routine 2.5mm,,Patient Protocol,3753
CT,Head^SpiralHead (Adult),HEAD,Topogram  1.0  T20s,3751
CT,CT Colonoscopy (Virtual),,Prone Scout,3740
CT,CT Abdomen/Pelvis With Contrast,ABDOMEN,KEY_IMAGES,3739
CT,CT Abdomen/Pelvis With Contrast,ABDOMEN,Topogram  0.6,3739
CT,CT Angiogram pulmonary,CHEST,1 CE,3735
CT,Abdomen^Ayr_Abdo_Pel (Adult),ABDOMEN,Abdo/pel VEN  1.0  3D,3724
CT,Head,HEAD,3.0 Head Sagittal Brain,3717
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,Body 1.0 Port Ven/CAP,3714
CT,CT Head with contrast,,Dose Report,3712
CT,CT Abdomen & pelvis with contrast,,1.0 Body Volume Port_Ven/Phase CE,3712
CT,CT Thorax abdomen and,,Dose Report,3705
CT,CT Thorax abdomen pelvis with contrast,CHEST_TO_PELVIS,Port_Ven 1.0 Body Non Hybrid Volume Port_Ven/Phase CE,3701
CT,CT,,RTP PELVIS,3697
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST_ABDO_PELV,Lung 1.0 CE,3693
CT,HRCT,HRCT,2,3660
CT,CT Thorax abdomen pelvis with contrast,CHEST_TO_PELVIS,1.0 Body Portal Ven/Phase Std. Volume CE,3659
CT,CT Thorax and abdomen with contrast,CHEST,KEY_IMAGES,3640
CT,CT Angiogram Pulmonary,CHEST,CTPA  1.0  I26f  3,3639
CT,CT Urogram,,Scouts,3635
CT,CT Sinuses,HEAD,Topogram,3626
CT,Abdomen^-01 Abdo Routine 2.5mm,ABDOMEN,AbdRoutine 5.0 B45f,3616
CT,CT Chest/Abdo/Pelvis/,,Dose Report,3608
CT,CT Angiogram lower limb Both,,Smart Prep Series,3607
CT,CT Head,,1.25mm Bone,3605
CT,Thorax^QM_Alternative_CAP_Thorabdo_Single_Run (Adult),ABDOMEN,Topogram  0.6  T20f,3591
CT,CT Chest/Abdo/Pelvis,,Scout,3583
CT,CT Chest With Contrast,,Scout,3567
CT,CT Urinary tract,ABDOMEN,2,3566
CT,CT Head,HEAD,1.0 Bone Hi Res,3564
CT,CT Chest High Resolution,CHEST,Topogram  0.6  T20f,3559
CT,ABDO/PELVIS,,Dose Report,3530
CT,CT Head,BRAIN,0.5 Head Brain FC23,3524
CT,Abdomen^ABDOPELVIS_SAFIRE (Adult),,Patient Protocol,3503
CT,Head^HeadSeq,,Patient Protocol,3495
CT,ABDOMEN,ABDOMEN,5  Venous/Phase  CE,3485
CT,CT Thorax and abdomen with contrast,CHEST,1.0 Body 60s/Delay Std. Volume CE Vol,3475
CT,CT KUB,,KUB 1.25mm,3473
CT,CT Urinary tract,ABDOMEN,5,3470
CT,CT Colonoscopy (Virtual),,Scout,3467
CT,CT Chest/Abdo/Pelvis,,,3464
CT,CT Abdomen and pelvis with contrast,ABDOMEN,2   Port_Ven/Phase CE,3461
CT,CT Angiogram Pulmonary,CHEST,iDose (3),3459
CT,CT Thorax and abdomen with contrast,CHEST,2.0   Sharp,3455
CT,Lower Extremity,,Individually captured images,3454
CT,Thorax^01Chest-Abdo-Pelvis_VOL,CHEST,C/A/P 3.0 B30f,3449
CT,CT Head with contrast,HEAD,2,3442
CT,,ABDOMEN,2,3440
CT,CT BRAIN,CT BRAIN,5,3434
CT,Thorax^7_Singlerun_Thorax_Abdo_SAFIRE (Adult),,Patient Protocol,3427
CT,Thorax^ThoraxAbdoPelvisCombined+Contrast,,Patient Protocol,3424
CT,CT Angiogram Pulmonary,CHEST,PreMonitoring  10.0  B30s,3417
CT,CHEST_TO_PELVIS,CHEST_TO_PELVIS,1.0 Body Portal Ven/Phase Std. Volume CE,3406
CT,CT Chest High Resolution,,Scouts,3403
CT,CT Urogram,ABDOMEN,UROGRAM  1.5  I26f  3,3391
CT,CT Chest/Abdo With Contrast,CHEST_ABDO,1.0 Lung Volume Arterial  /Phase CE,3384
CT,CT Abdomen/Pelvis With Contrast,ABDO_PELVIS,1.0 Body AIDR Strong Venous/Phase CE,3382
CT,CT Thorax abdomen pelvis with contrast,CHEST,2,3373
CT,CT Angiogram pulmonary,CHEST,Embolism  1.0  B20f 3D,3371
CT,Head^01HeadSpiral_4x1_VOL,HEAD,Thin Slice 1.25 H41s,3356
CT,CT Chest high resolution,CHEST,"Lung, iDose (2)",3355
CT,CHEST/ABDO/PELVIS,CHEST_ABDO_PELVI,Body 1.0 Venous/Phase CE,3351
CT,CT Chest/Abdo With Contrast,,Lung,3340
CT,ABDO PELVIS,,Axial A/P,3323
CT,CT Abdomen and pelvis with contrast,ABDO_PELVI,5   Venous/Phase CE,3322
CT,Thorax^4_CTPA_SAFIRE (Adult),CHEST,Thorax  1.0  I31f  3,3321
CT,CHEST_TO_PELVIS,CHEST_TO_PELVIS,5  Portal Ven/Phase  CE,3313
CT,HEAD,HEAD,1.0 Head  Brain Volume,3310
CT,,CTPA,10.0 Lung CTA CE,3306
CT,CT Abdomen and pelvis with contrast,ABDO_PELVIS,Body 1.0 Venous/Phase CE,3300
CT,CT Thorax and abdomen with contrast,CHEST,Topogram  0.6  T20s,3290
CT,CT Head,,BONE,3287
CT,Thorax^WholebodyStagingDP (Adult),CHEST,Lung 1.0,3284
CT,CT BRAIN,CT BRAIN,5.0 Head   Brain Axial,3280
CT,CT Abdomen/Pelvis With Contrast,,Axial A/P,3279
CT,NM Whole Body PET FDG,,CT STND,3277
CT,Head^RoutineSpiralHead (Adult),HEAD,Head  1.0  H60s,3276
CT,Thorax^DualThoraxAbdo (Adult),CHEST,Thorax 2 mm Mediastinum,3273
CT,Abdomen^KUB (Adult),,Patient Protocol,3272
CT,Head^1_Head_SAFIRE (Adult),HEAD,Head  5.0  J30s  3,3266
CT,CT Renal Both,,1.25,3264
CT,CT Thorax & abdomen with contrast,,2,3263
CT,CT Chest/Abdo/Pelvis,ABDOMEN,KEY_IMAGES,3255
CT,CT Chest (Limited),,1.25mm Chest,3252
CT,CT Abdomen and pelvis,,Dose Report,3247
CT,Thorax^7_SingleRun_Thorax_Abdo_SAFIRE (Adult),ABDOMEN,Abdomen  1.0  I26f  3,3246
CT,CT Chest With Contrast,CHEST,2,3244
CT,Thorax^ChestLiverStaging (Adult),ABDOMEN,Art Chest/Liver  1.0,3239
CT,CT Chest high resolution,CHEST,"Mediastinum, iDose (2)",3236
CT,CT Head,HEAD,1.0 Head  Brain  Vol,3230
CT,Thorax^Ayr_CAP_Split_AR_Venous (Adult),,Patient Protocol,3226
CT,CT Cardiac Angiogram Coronary,,SmartScore - Localize,3208
CT,Head^-01 Head 2.5 GR LW,,Patient Protocol,3205
CT,CT Head With Contrast,,Patient Protocol,3203
CT,CT Chest high resoluti,,SCOUTS,3203
CT,Abdomen^Ayr_CT_Urogram (Adult),ABDOMEN,UROGRAM  1.0  3D,3203
CT,Head^03aHeadSpiral (Adult),HEAD,Topogram  1.0  T20s,3200
CT,CHEST/ABDO,CHEST_ABDO,",5.0,Std. Volume,Body,Coronal,CE",3192
CT,CT Head,,1.25mm bone recon,3189
CT,CT Thorax with contrast,,Dose Report,3188
CT,C/A/P,,Dose Report,3180
CT,,CTPA,2,3173
CT,Head^01HeadSpiral_4x1_VOL,,Patient Protocol,3169
CT,CT Abdomen and Pelvis,ABDOMEN_PELVIS,2.0   Sharp,3169
CT,Abdomen^7_Colon (Adult),ABDOMEN,Topogram  0.6  T20f,3169
CT,CT Colonoscopy (Virtual),,Supine Scouts,3167
CT,CT Chest/Abdo With Contrast,,Post Contrast SS 40,3160
CT,CT Chest/Abdo With Contrast,CHEST,Thorax LCAD  1.5  I31f  3,3150
CT,CT Chest high resolution,CHEST,2,3146
CT,CT Neck thorax abdomen pelvis with Cont,,Dose Report,3138
CT,CT Chest,,Patient Protocol,3137
CT,CHEST/ABDO,CHEST_ABDO,",2.0,Sharp,,Scano,",3137
CT,Abdo/Pelvis,ABDO_PELVIS,1.0 Body Volume Venous/Phase CE,3136
CT,Head^Head (Adult),HEAD,Topogram,3132
CT,CT Head,,KEY_IMAGES,3131
CT,CT Chest High Resolution,,HRCT,3130
CT,CT Chest/Abdo With Contrast,CHEST,Topogram  0.6  T20f,3120
CT,CH/AB/PEL,CH_AB_PEL,",2.0,Sharp,,Scano,",3117
CT,CT Guided biopsy lung,ABDOMEN,Sft Tissue 3.0,3103
CT,CT Thorax abdomen pelvis with contrast,CHEST,1.0 Body 60s/Delay Std. Volume CE Vol,3094
CT,CT Chest/Abdo With Contrast,CHEST_ABDO,10.0 Body Axial Arterial  /Phase CE,3093
CT,CT Angiogram Pulmonary,,Lung,3090
CT,CAP,,Dose Report,3088
CT,CT Chest/Abdo/Pelvis/ With Contrast,,KEY_IMAGES,3085
CT,CT Urinary tract,ABDOMEN,Abdomen  1.0  B20f,3084
CT,CT Abdomen & pelvis with contrast,,//Sharp/2.0//,3084
CT,Thorax^1_ChestAbdo (Adult),CHEST,Topogram  1.0  T20s,3078
CT,Thorax^QM_Alternative_CAP_Thorabdo_Single_Run (Adult),CHEST,MPR CAP  1.0  I26f  3,3068
CT,CT Abdomen/Pelvis With Contrast,ABDOMEN,Abdomen  1.0,3066
CT,CT Head With Contrast,HEAD,Head  1.0  H60s,3063
CT,CT Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,1.0 Body Arterial /Phase Std. Volume CE,3059
CT,CT Abdomen and pelvis with contrast,ABDO_PELVIS,Thin Abdo  1.0 Body Volume FC7 Venous/Phase CE,3053
CT,ABDO/PELVIS,ABDO_PELVIS,5 Venous/Phase CE,3036
CT,CT Angiogram pulmonary,CHEST,2 CE,3035
CT,ABDOMEN,ABDOMEN,2,3030
CT,Abdomen^-01 Abdo Routine 2.5mm,ABDOMEN,Topogram,3027
CT,CHEST/ABDO,,Dose Report,3016
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST,CAP 65  1.5  I30f  3,3015
CT,CT Spine cervical,,0.625mm Bone,3014
CT,Thorax^1_Thorax_NonC_SAFIRE (Adult),CHEST,Thorax  5.0  I70f  3,3008
CT,Thorax^1_ChestAbdoPelvis (Adult),ABDOMEN,AbdRoutine  2.0  B20f,3005
CT,CT HEAD,,Dose Report,3003
CT,Chest/Abdo,CHEST_ABDO,5  Venous/Phase  CE,3003
CT,CT Colonoscopy (Virtual),ABDOMEN,Abdomen  1.0  I30f  3,3000
CT,CT Thorax and abdomen with contrast,CHEST,2,2998
CT,CT Abdomen and Pelvis,,Exam Summary,2986
CT,Abdomen/Pelvis,ABDOMEN_PELVIS,1.0 Body Venous/Phase Std. Volume CE,2982
CT,CT Abdomen and pelvis with contrast,ABDOMEN_PELVIS,2,2979
CT,Thorax^CHESTABDOPELVIS (Adult),ABDOMEN,AbdoPelvis  2.0  B20f,2964
CT,CT BRAIN,CT BRAIN,5.0 Head Sagittal  Brain Volume,2957
CT,CT Head with contrast,HEAD,Topogram  0.6  T20s,2950
CT,CT Urinary tract,,1.25mm KUB Soft,2941
CT,CT Head,,3mm COR,2941
CT,Head^Sinuses (Adult),HEAD,Sinus  1.5,2932
CT,CT Sinuses,,Scout,2923
CT,CT Thorax abdomen pelvis with contrast,CAP,1.0 Body Std. Volume Port_Ven/Phase CE,2920
CT,CT Chest high resoluti,,Dose Report,2915
CT,Thorax^ChestAbdoBolus (Adult),ABDOMEN,Abdomen  1.5,2915
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST,KEY_IMAGES,2914
CT,CT Chest high resoluti,,HRCT 1.25MM,2911
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,5.0 Body Arterial /Phase Std. Axial CE,2909
CT,NM Whole Body PET FDG,ABDOMEN,Topogram  0.6  T80s,2906
CT,CT Angiogram lower limb Both,,Dose Report,2900
CT,Head^03aHeadSpiral (Adult),,Patient Protocol,2896
CT,CT Urinary tract,ABDOMEN,Topogram  0.6  T20f,2894
CT,CHEST/ABDO,CHEST_ABDO,",5.0,Std. Axial,Body,Axial,CE",2894
CT,CT Angiogram pulmonary,CTPA,CTA 1.0 CTA CE,2890
CT,CT Neck With Contrast,NECK,Neck  1.0  B60f,2890
CT,Head^RoutineSpiralHead (Adult),HEAD,Head  1.0  J30s  2,2887
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST,Thorax  1.5  I50f  3,2886
CT,CT Head,HEAD,Head  5.0  True Axial,2875
CT,Thorax^VenousChestAbdo (Adult),CHEST,Topogram  0.6,2873
CT,CT Angiogram Pulmonary,,Timing Bolus,2872
CT,Thorax^DynChest_Abdomen (Adult),CHEST,Thorax  1.5  B50f,2870
CT,CHEST,CHEST,5  Portal Ven/Phase  CE,2851
CT,CT Thorax,,Patient Protocol,2842
CT,,CHEST_ABDO,2,2837
CT,CT Thorax and abdomen with contrast,,1.25mm Chest/abdo,2825
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST_ABDO_PELV,5 CE,2818
CT,Abdomen^KUB (Adult),ABDOMEN,Topogram,2818
CT,CT Multi Area,ABDOMEN,iDose,2813
CT,CT Thorax and abdomen with contrast,CHEST,Thorax  1.0  B31f,2808
CT,Thorax^DualThoraxAbdo (Adult),,Patient Protocol,2802
CT,CT Thorax abdomen pelv,,CAP (DMPR) 1.25MM,2801
CT,Abdomen^AbdRoutine+Contrast,ABDOMEN,AbdRoutine 3.0 B31f,2798
CT,CT Head With/Without Contrast,,Dose Report,2795
CT,Thorax^TAP_All_In_One_With_IV_BGH (Adult),ABDOMEN,Topogram  0.6  T20f,2791
CT,CHEST,,Dose Report,2788
CT,CT Abdomen With Contrast,ABDOMEN,2,2783
CT,CT Angiogram pulmonary,,PULM. ANGIO,2782
CT,CT Spine cervical,,Scout,2779
CT,CT Abdomen and pelvis with contrast,ABDOMEN_PELVIS,Body 1.0 PORTAL VEN CE,2777
CT,Thorax^QM_Alternative_CAP_Thorabdo_Single_Run (Adult),CHEST,Thorax Lung  2.0  I70f  3,2776
CT,ABDOMEN,ABDOMEN,1.0 Body Venous/Phase Std. Volume CE,2772
CT,CT Urogram,,UROGRAM SCOUT,2771
CT,Abdomen^Abdomen_With_IV_BGH (Adult),ABDOMEN,Topogram  0.6  T20f,2769
CT,CT Spine cervical,C SPINE,3,2769
CT,,HEAD,1.0 Bone,2766
CT,CHEST/ABDO/PELVIS,CHEST_ABDO_PELVI,5 Venous/Phase CE,2764
CT,Thorax^SingleThoraxAbdo (Adult),,Patient Protocol,2757
CT,Thorax^1_CTPA (Adult),CHEST,Topogram  1.0  T20s,2757
CT,CT Spine cervical,C SPINE,Spine 0.5,2755
CT,CT Renal,,Dose Report,2748
CT,CT Thorax and abdomen with contrast,CHEST,Thorax  1.0  B20f 3D,2745
CT,CT Head,HEAD,Head  1.0    ax 3D,2745
CT,CT Colonoscopy virtual,ABDOMEN,2.0   Sharp CE Scano,2745
CT,CT Thorax abdomen pelvis with contrast,CHEST_TO_PELVIS,2.0   Sharp  Scano,2744
CT,CT Chest,,Scout,2743
CT,,CHEST_ABDO_PELV,Body 1.0 CE,2741
CT,CT Colonoscopy (Virtual),,Colon 1mm,2737
CT,CT Chest high resoluti,,Recon 2: 1.25mm HRCT INSP,2736
CT,CT Chest/Abdo With Contrast,ABDOMEN,Abdo  1.5  I26f  3,2731
CT,Thorax^7_Singlerun_Thorax_Abdo_SAFIRE (Adult),ABDOMEN,Abdomen  1.0  I26f  3,2729
CT,CH/AB/PEL,CH_AB_PEL,",5.0,Std. Axial,Body,Axial,CE",2726
CT,CT Angiogram Lower Limbs,PERIPHERAL,2,2723
CT,HEAD,HEAD,1.0 Head   Brain Volume,2721
CT,CT Head,HEAD,Head  1.0  J70h  3,2719
CT,Thorax^ChestLiverStaging (Adult),ABDOMEN,Lungs 1.0,2717
CT,CT Angiogram pulmonary,,Helical 1.25mm,2717
CT,Abdomen^7_Colon (Adult),ABDOMEN,Abdomen  1.0  I26f  3,2715
CT,ABDOMEN,ABDOMEN,1.0 Body Non/Contrast Std. Volume,2689
CT,Abdomen^1_Colon (Adult),ABDOMEN,Topogram  1.0  T20s,2688
CT,CT Chest/Abdo With Contrast,ABDOMEN,Topogram  0.6  T20f,2687
CT,CT Chest high resolution,CHEST,Topogram  0.6  T20s,2684
CT,CT KUB,ABDOMEN,Topogram  0.6  T20f,2682
CT,CTPA,,CTPA 1.25mm,2681
CT,CTPA,CTPA,Body 2.0,2679
CT,CT Chest,CHEST,"Mediastinum, iDose (2)",2667
CT,CT Abdomen / Pelvis,ABDOMEN,iDose,2663
CT,CT Chest and abdomen,ABDOMEN,iDose (4),2663
CT,Chest/Abdo,CHEST_ABDO,5.0 Body Arterial/Phase/Coronal Std. Volume CE,2661
CT,CT Neck With Contrast,CHEST,Topogram  0.6  T20s,2654
CT,CT Head,,Recon 3: AXIAL 5/7.5,2649
CT,CT Urinary tract,ABDOMEN,2.0   Sharp,2649
CT,CT Spine Cervical,,Patient Protocol,2645
CT,Head^BrainwithBony (Adult),,Patient Protocol,2643
CT,CT Head,HEAD,Brain Vol. Head,2641
CT,CHEST ABDO PELVIS,,Dose Report,2640
CT,CT Abdomen and pelvis with contrast,,SCOUT,2636
CT,CT Abdomen and Pelvis,,Patient Protocol,2616
CT,CT Guided biopsy lung,,Body 2.0,2616
CT,CT Thorax,,SCOUTS,2615
CT,CT Thorax abdomen pelvis with contrast,CHEST_ABDO_PELVI,5 PORTAL VEN CE,2614
CT,CT KUB,,Axial 1 5,2613
CT,CT Abdomen/Pelvis With Contrast,,,2605
CT,CT Thorax abdomen and pelvis,CHEST_ABDO_PELVI,2,2603
CT,Head^HeadRoutineSeqBGH (Adult),HEAD,Brain  4.5  H40s,2597
CT,CT Chest high resolution,,Scout,2589
CT,Head,HEAD,1.0 Bone Hi Res,2584
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST_ABDO_PELV,2,2582
CT,Thorax^DualThoraxAbdo (Adult),CHEST,Topogram  1.0  T20s,2574
CT,CT Chest/Abdo/Pelvis/ With Contrast,,1.25mm art chest recon,2571
CT,CT Abdomen and pelvis with contrast,,KEY_IMAGES,2571
CT,CT Urinary tract,ABDOMEN,5  Non/Contrast,2562
CT,CT BRAIN,CT BRAIN,2.0    Sharp,2556
CT,ABDO PELVIS,,Scout,2550
CT,CHEST ABDO PELVIS,,Scout,2548
CT,,HEAD,Bone 1.0,2537
CT,CT Abdomen  pelvis with contrast,ABDOMEN,Topogram  0.6  T20f,2534
CT,Thorax^ChestAbdoPelvis_SAFIRE_LCAD (Adult),,Patient Protocol,2533
CT,CT Thorax,,CHEST,2533
CT,CT Abdomen and pelvis,ABDO_PELVIS,2,2530
CT,CT Colonoscopy virtual,,SUPINE SCOUT,2527
CT,NM Bone Whole Body,,Dose Report,2525
CT,CT Angiogram Pulmonary,,tracker,2521
CT,CT Sinuses,,SINUS SUPINE SCOUT,2515
CT,Abdomen^AbdRoutine+Contrast,,Patient Protocol,2513
CT,Head^Sinuses (Adult),HEAD,Topogram,2512
CT,CT BRAIN,CT BRAIN,5.0 Head Coronal  Brain Volume,2510
CT,KUB,,Dose Report,2509
CT,Thorax^DualThoraxAbdo (Adult),ABDOMEN,Abdomen  2.0 mm,2506
CT,CT Urogram,,Scout,2503
CT,CT Chest High Resolution,,INSP. 1.25/10mm,2503
CT,CT Chest/Abdo With Contrast,CHEST,TAP 1.0  I30f  3,2500
CT,CT Colonoscopy virtual,,SUPINE,2493
CT,CTPA,CTPA,CTA 1.0 CTA CE,2493
CT,CT Colonoscopy virtual,,PRONE LOW mA,2486
CT,CT Chest/Abdo/Pelvis/ With Contrast,C_A_P,5  55 sec/delay CE,2486
CT,CT Head with contrast,,0.6MM,2484
CT,CT Abdomen & pelvis with contrast,,2,2483
CT,CT Head With Contrast,HEAD,Topogram,2481
CT,CT Abdomen and Pelvis,,Scout,2455
CT,Thorax^Ayr_Staging_Chest_for_SC (Adult),CHEST,Topogram,2452
CT,CT Head with contrast,HEAD,Topogram  0.6  T20f,2448
CT,HEAD,HEAD,Head 5.0 Coronal,2444
CT,CT Thorax abdomen pelvis with contrast,,Recon 2:  CAP (DMPR) 1.25MM,2441
CT,CT Colonoscopy virtual,,SCOUT PRONE low dose series,2438
CT,Head^03aHeadSpiral (Adult),HEAD,Head Spiral  1.0  H31s,2434
CT,CT Spine Cervical,,Dose Report,2433
CT,Head^HeadRoutineSeqBGH (Adult),HEAD,Topogram  1.0  T20s,2430
CT,CT Sinuses,,Patient Protocol,2429
CT,CT Angiogram Pulmonary,,locator,2429
CT,PET^PETCT_AC_WB_SMI_REDACTED (Adult),ABDOMEN,Topogram  0.6  T80s,2429
CT,CT Colonoscopy (Virtual),ABDOMEN,Colo_prone  1.0  I26f  3,2426
CT,CT Abdomen/Pelvis With Contrast,ABDOMEN,Body 1.0 CE,2425
CT,CT Angiogram pulmonary,,Recon 2: 4MLS + 100MLS CONTRAST,2422
CT,CT Cone beam maxilla,,,2422
CT,HEAD,,2.5mm Head,2419
CT,CT Chest/Abdo With Con,,Dose Report,2414
CT,CT Thorax abdomen pelvis with contrast,CHEST,Body 1.0 CE,2411
CT,Head^RoutineSpiralHeadPostContrast (Adult),,Patient Protocol,2411
CT,CT Chest/Abdo With Contrast,CHEST,Topogram  0.6,2411
CT,CT Angiogram pulmonary,,2,2408
CT,Thorax^SingleThoraxAbdo (Adult),CHEST,ThoraxAbd  2.0 mm ST,2406
CT,CT Head,HEAD,Head 1.0 CE,2404
CT,Chest/Abdo,CHEST_ABDO,5.0 Body Arterial/Phase/Sagittal Std. Volume CE,2403
CT,CH/AB/PEL,CH_AB_PEL,",5.0,Std. Volume,Body,Coronal,CE",2398
CT,CT Angiogram Pulmonary,CHEST,"Lung, iDose (3)",2398
CT,CT Abdomen and pelvis,,ABDO PELVIS,2391
CT,CT Abdomen/Pelvis With Contrast,,Axial 1 5,2385
CT,Thorax^ThoraxAbdoPelvisCombined+Contrast,CHEST,Topogram,2381
CT,CT Head,,2.5/5mm HEAD,2376
CT,Abdo/Pelvis,ABDO_PELVIS,2.0  Smooth,2375
CT,CT Thorax abdomen pelvis with contrast,CHEST,Topogram  0.6  T20f,2369
CT,CT Chest/Abdo With Contrast,CHEST_ABDO,1.0 Body Volume Venous/Phase CE,2367
CT,CT Thorax and abdomen with contrast,,SCOUT,2363
CT,,CTPA,1.0 CTA CTA CE,2360
CT,CT Angiogram pulmonary,CHEST,Topogram  0.6  T20s,2359
CT,CT Head,,0.625mm  Soft,2357
CT,,CTPA,2  CTA CE,2354
CT,HEAD,,2.5/5mm,2353
CT,CT Chest high resoluti,,HELICAL /HRCT 2ND RECON,2351
CT,Thorax^ChestLiverStaging (Adult),,Patient Protocol,2349
CT,CT KUB,KUB,2.0 Body AIDR Strong,2344
CT,CT Thorax,CHEST,5,2342
CT,CT Spine cervical,C SPINE,Bone 0.5,2337
CT,HEAD,HEAD,2.0    Sharp,2321
CT,CT Chest high resolution,CHEST,ThorHR  1.0  B70 3D,2319
CT,CT Abdomen and Pelvis,ABDOMEN_PELVIS,5  Venous/Phase  CE,2316
CT,ABDOMEN,ABDOMEN,5  Non/Contrast,2315
CT,Abdomen^Ayr_CT_Urogram (Adult),ABDOMEN,Topogram,2309
CT,CT urinary tract with contrast,ABDOMEN,2,2307
CT,Neck^Dyn_Neck (Adult),CHEST,Topogram  0.6  T20s,2302
CT,Thorax^1_ChestAbdo (Adult),ABDOMEN,AbdRoutine  2.0  B20f,2300
CT,CT Abdomen and pelvis,ABDOMEN_PELVIS,2,2300
CT,CT Abdomen and pelvis with contrast,ABDOMEN,Topogram,2299
CT,CT Chest High Resolution,,Patient Protocol,2297
CT,Abdomen^01_Urogram_Plain_VOL,ABDOMEN,Urogram 3.0 B30f,2290
CT,CT Thorax and abdomen with contrast,CHEST,Thorax  1.0  I31s  3,2284
CT,CT Chest/Abdo/Pelvis,,Patient Protocol,2282
CT,CT Chest high resolution,,2,2271
CT,CT Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,2.0   Sharp,2270
CT,ABDO/PELVIS,ABDO_PELVIS,",2.0,Sharp,,Scano,",2264
CT,CT Thorax abdomen pelvis with contrast,,LUNG 5mm,2258
CT,Thorax^-01 Chest Abdo Pelvis 2.5,CHEST,Topogram,2257
CT,CT Abdomen/Pelvis With Contrast,ABDO_PELVIS,5  PORTAL VEN CE,2257
CT,Head^RoutineSpiralHeadPostContrast (Adult),HEAD,Head  1.0  H31s,2256
CT,Abdomen^AbdRoutine+Contrast,ABDOMEN,Topogram,2248
